city,country,latitude,longitude,temperature,humidity,cloudiness,wind_speed
tulungagung,id,-8,112,27.79,91.0,24.0,1.23
lakhimpur,in,27,94,20.19,100.0,100.0,1.88
turinsk,ru,58,64,-0.92,51.0,88.0,1.78
singarayakonda,in,15,81,32.09,52.0,48.0,2.58
san lorenzo,ar,-28,-59,28.79,80.0,88.0,2.48
karachev,ru,53,35,6.89,61.0,0.0,9.73
chimbote,pe,-10,-81,18.14,93.0,0.0,2.08
nanchong,cn,31,106,18.99,100.0,92.0,2.23
tari,pg,-6,143,25.29,68.0,8.0,3.98
ilinskiy,ru,61,32,3.65,71.0,75.0,11.0
longhua,cn,29,107,20.0,100.0,90.0,2.0
mgandu,tz,-6,34,14.99,96.0,12.0,2.43
bonga,et,7,36,15.49,100.0,64.0,0.53
kennewick,us,46,-119,14.49,28.0,40.0,6.7
suamico,us,45,-88,6.84,56.0,1.0,1.18
ahuimanu,us,32,-154,26.25,78.0,40.0,5.7
papayal,pe,-4,-81,13.0,100.0,40.0,1.5
estevan,ca,49,-103,14.0,54.0,1.0,9.3
deneysville,za,-27,28,7.0,93.0,0.0,2.08
gedinne,be,50,5,14.51,82.0,0.0,0.5
fukue,jp,33,126,21.0,68.0,20.0,1.5
harqalah,tn,36,10,8.99,89.0,12.0,1.83
maryville,us,41,-95,12.0,40.0,40.0,3.1
uyemskiy,ru,65,41,-7.0,73.0,20.0,4.0
tura,ru,65,101,23.49,94.0,0.0,1.68
contai,in,21,88,30.99,83.0,24.0,9.43
blytheville,us,36,-90,19.4,42.0,1.0,4.1
kirzhach,ru,56,39,-0.17,88.0,92.0,12.73
butembo,cd,0,29,16.94,98.0,88.0,0.73
odienne,ci,10,-8,24.89,74.0,0.0,3.33
santa rosalia,mx,27,-113,12.0,87.0,0.0,1.5
venado tuerto,ar,-33,-62,19.19,93.0,8.0,3.88
arantangi,in,10,79,29.64,79.0,8.0,1.83
savinka,ru,50,47,9.59,62.0,44.0,9.78
astana,kz,51,72,10.0,93.0,90.0,8.0
cutro,it,39,17,10.0,100.0,0.0,2.1
iquique,cl,-21,-73,19.0,72.0,0.0,2.6
sao felix do xingu,br,-6,-51,21.94,100.0,64.0,0.63
bahia blanca,ar,-38,-63,22.54,62.0,0.0,6.63
coroico,bo,-16,-68,3.0,86.0,20.0,2.6
dingzhou,cn,39,115,12.0,93.0,90.0,4.0
shar,kz,49,82,24.79,92.0,56.0,5.08
tumut,au,-36,148,17.89,86.0,20.0,1.18
nybro,se,57,16,4.88,81.0,0.0,2.6
eenhana,na,-17,17,20.0,77.0,0.0,1.0
primorsko-akhtarsk,ru,46,38,11.84,85.0,56.0,9.33
kreuztal,de,51,8,11.98,82.0,0.0,0.5
tarauaca,br,-10,-71,23.69,94.0,56.0,1.13
misasi,tz,-3,33,17.59,100.0,92.0,1.68
rocha,uy,-37,-53,18.29,94.0,68.0,1.23
wanxian,cn,31,108,25.09,66.0,44.0,1.13
ejea de los caballeros,es,42,-1,13.0,82.0,0.0,1.0
baoro,cf,6,16,23.44,80.0,44.0,2.13
mazsalaca,lv,58,25,5.24,68.0,0.0,6.48
maumere,id,-7,123,30.29,96.0,8.0,4.18
marshalltown,us,42,-93,10.85,50.0,75.0,6.7
sebastian,us,28,-80,23.5,78.0,90.0,8.7
ambo,pe,-10,-76,12.09,89.0,76.0,0.53
motygino,ru,58,95,7.14,86.0,48.0,2.98
nova vicosa,br,-19,-38,21.44,92.0,44.0,3.23
marawi,sd,21,31,23.29,100.0,76.0,0.48
macroom,ie,52,-9,9.0,100.0,75.0,3.6
lake charles,us,30,-93,21.0,73.0,90.0,5.1
semporna,my,4,119,31.0,74.0,75.0,2.1
kalaiya,np,27,85,29.89,32.0,0.0,2.98
kingussie,gb,57,-4,7.49,93.0,56.0,1.0
finschhafen,pg,-7,148,26.99,77.0,64.0,1.58
kurilsk,ru,47,146,0.64,95.0,24.0,6.48
alice town,bs,26,-79,25.59,100.0,76.0,7.93
intipuca,sv,13,-88,33.0,43.0,0.0,1.0
taksimo,ru,56,116,6.44,47.0,32.0,1.23
venustiano carranza,mx,25,-103,21.57,76.0,90.0,5.7
ipatovo,ru,46,43,7.69,75.0,0.0,5.93
stephenville,ca,49,-59,14.2,82.0,90.0,9.8
magway,mm,20,95,31.89,59.0,0.0,1.88
damietta,eg,33,32,19.0,68.0,20.0,6.2
tucano,br,-11,-39,20.14,94.0,32.0,2.83
las tunas,cu,21,-77,24.29,80.0,12.0,4.83
mangai,cd,-4,19,23.94,96.0,80.0,0.98
kingsville,us,27,-98,10.22,61.0,75.0,1.03
jian,cn,27,115,25.49,71.0,100.0,4.48
ritto,jp,35,136,21.51,52.0,0.0,3.6
morwa,in,23,74,28.09,38.0,0.0,2.03
belyy,ru,56,33,5.69,83.0,92.0,7.03
litovko,ru,50,134,12.44,19.0,0.0,4.23
sioux lookout,ca,53,-90,7.62,55.0,20.0,2.38
khanu woralaksaburi,th,16,100,33.34,60.0,0.0,2.08
damaturu,ng,12,12,22.44,45.0,20.0,3.48
phangnga,th,9,98,27.71,74.0,20.0,2.1
puerto escondido,mx,8,-99,28.89,100.0,0.0,5.48
ibirite,br,-20,-44,18.29,72.0,0.0,4.6
pueblo,us,38,-104,5.09,61.0,90.0,3.6
bethalto,us,39,-90,15.44,51.0,1.0,5.7
shetpe,kz,45,53,8.44,92.0,0.0,3.48
cheltenham,gb,52,-2,14.46,82.0,75.0,2.6
tongren,cn,28,109,20.59,100.0,92.0,1.48
castrillon,es,43,-7,14.0,82.0,0.0,2.6
bikin,ru,47,134,11.99,40.0,0.0,3.23
ibiapina,br,-4,-41,20.04,96.0,20.0,1.13
ito,jp,35,139,20.0,72.0,20.0,6.7
anderson,us,34,-83,13.64,54.0,20.0,1.5
cochrane,ca,49,-81,0.94,100.0,76.0,1.08
taicheng,cn,21,113,29.19,68.0,12.0,4.68
lieksa,fi,64,29,-5.02,84.0,0.0,2.23
uppsala,se,60,18,5.69,56.0,0.0,4.1
daoukro,ci,7,-4,24.94,87.0,44.0,2.08
el porvenir,hn,16,-87,26.0,94.0,40.0,1.0
novolabinskaya,ru,45,40,11.0,76.0,0.0,7.0
hasaki,jp,23,156,24.36,50.0,0.0,2.1
general bravo,mx,26,-99,27.64,54.0,8.0,2.53
muriti,tz,-2,33,19.74,100.0,80.0,2.78
lamovita,ba,45,17,6.0,87.0,0.0,1.5
formosa do rio preto,br,-11,-45,22.49,76.0,32.0,3.33
kareli,in,23,79,29.79,22.0,0.0,2.03
sturgeon falls,ca,46,-80,2.0,55.0,5.0,1.5
coracora,pe,-15,-74,5.29,92.0,80.0,1.23
kerrville,us,30,-99,17.47,72.0,1.0,1.98
sjovegan,no,69,18,2.54,93.0,92.0,3.1
orange,au,-33,149,20.09,77.0,36.0,1.93
gigmoto,ph,14,125,27.79,100.0,68.0,3.03
rentina,gr,39,22,9.0,70.0,0.0,1.5
yuyao,cn,30,121,24.0,83.0,40.0,4.0
udayagiri,in,20,84,24.44,79.0,32.0,1.98
szalkszentmarton,hu,47,19,8.16,93.0,0.0,0.5
bangassou,cf,5,23,22.19,100.0,32.0,1.03
esfarayen,ir,37,57,10.0,81.0,75.0,5.1
elizabeth city,us,35,-74,8.2,66.0,1.0,2.1
kutahya,tr,39,30,1.0,80.0,0.0,2.1
lowicz,pl,52,20,5.03,86.0,0.0,3.08
riga,lv,57,24,5.0,93.0,0.0,1.5
impfondo,cg,1,19,21.79,95.0,20.0,0.73
antalaha,mg,-16,52,24.49,100.0,92.0,2.58
malkara,tr,41,27,6.09,93.0,0.0,1.18
korcula,hr,43,17,8.0,87.0,0.0,0.5
nehalim,il,32,35,17.0,82.0,40.0,4.1
azare,ng,11,10,23.14,64.0,12.0,2.98
bure,et,11,37,25.04,64.0,8.0,4.38
san javier,bo,-16,-62,16.0,77.0,0.0,1.0
el tarra,co,9,-73,19.89,89.0,64.0,0.93
grootfontein,na,-19,19,10.69,67.0,0.0,1.43
cap-haitien,ht,20,-72,24.59,98.0,24.0,5.43
nacala,mz,-14,40,25.69,100.0,0.0,5.93
sindor,ru,63,52,-9.42,69.0,0.0,3.43
conway,us,34,-79,16.59,72.0,90.0,1.63
tingo maria,pe,-9,-76,16.44,95.0,8.0,0.78
