Compound,Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago,User
0.0,2018-04-29 02:22:59+00:00,1.0,0.0,0.0,@CNN Shouldn’t that read” Trump skips event AGAIN???” #CadetBoneSpurs https://t.co/DbwUbaz8KI,1,@CNN
-0.883,2018-04-29 02:22:59+00:00,0.593,0.407,0.0,"@CNN Worst is now that your really being called out for fake news, you people are now crying.",2,@CNN
-0.527,2018-04-29 02:22:58+00:00,0.677,0.226,0.098,"RT @kazweida: Dear @CNN ,

Stop sending me notifications about the nationalist bullshit our banana republic dictator is spouting to a sea o…",3,@CNN
-0.318,2018-04-29 02:22:58+00:00,0.901,0.099,0.0,"RT @CNN: More women sign up to defend former ""NBC Nightly News"" anchor Tom Brokaw and tension in NBC grows https://t.co/xsI2Rmlz2F https://…",4,@CNN
0.44,2018-04-29 02:22:58+00:00,0.734,0.0,0.266,@CNN Not funny and not inspiring— just saying @SpeakerRyan,5,@CNN
0.318,2018-04-29 02:22:57+00:00,0.303,0.0,0.697,@CNN 🙄 please,6,@CNN
0.506,2018-04-29 02:22:56+00:00,0.654,0.106,0.24,@CNNTonight  @cnn #WHCD These awards on stories of a drama-filled Trump Presidency is really odd  and stunning to w… https://t.co/eVUfXh7Q2f,7,@CNN
-0.273,2018-04-29 02:22:56+00:00,0.792,0.208,0.0,@CNN Somebody tell this woman to drop the mic.,8,@CNN
0.0,2018-04-29 02:22:56+00:00,1.0,0.0,0.0,@CNN 🤦🏼‍♀️Wow. He is just deplorable.,9,@CNN
0.555,2018-04-29 02:22:56+00:00,0.648,0.112,0.241,"@CNN Lol!Sure #maga, give the poor man a medal. It's what he really cares about over&amp;above all else. He needs adula… https://t.co/Gq9sl93Dzl",10,@CNN
0.0,2018-04-29 02:22:56+00:00,1.0,0.0,0.0,@Europarl_EN; @EUCouncil; @EU_Commission;; @OHCHR_Europe; @raad_zeid; @jeremycorbyn; @RealJamesWoods; @WLTaskForce;… https://t.co/w505P9nsAY,11,@CNN
0.511,2018-04-29 02:22:55+00:00,0.699,0.0,0.301,@CNN Only matters to the self absorbed media. Real Americans don’t care.,12,@CNN
-0.153,2018-04-29 02:22:55+00:00,0.942,0.058,0.0,"RT @CNN: ""We are not a people that should be confronting each other ... we should be living in unity,"" said Kim Jong Un. ""We have long wait…",13,@CNN
0.0,2018-04-29 02:22:55+00:00,1.0,0.0,0.0,@CNN  https://t.co/Kgx8IfQZkC,14,@CNN
0.0,2018-04-29 02:22:54+00:00,1.0,0.0,0.0,@BBCNews @BBCWorld @SkyNews @SkyNewsBreak @Channel4News @Channel5Press @RTUKnews @RT_com @itvnews @Reuters @cnnbrk… https://t.co/t110JHBxwG,15,@CNN
0.0,2018-04-29 02:22:54+00:00,1.0,0.0,0.0,RT @ChetPowell: @CNN https://t.co/2Qd2MrskHp,16,@CNN
0.778,2018-04-29 02:22:53+00:00,0.755,0.0,0.245,"RT @CNN: ""Daily Show"" comedian Hasan Minhaj spoke at the White House correspondents' dinner last year. Here's a look back at his best jokes…",17,@CNN
0.511,2018-04-29 02:22:53+00:00,0.712,0.082,0.206,"RT @hollymdavis: .@joanwalsh thank you for saying ""let me finish"" when you where interrupted. My 9 yr old daughter is watching. :)  #rolemo…",18,@CNN
0.402,2018-04-29 02:22:53+00:00,0.828,0.0,0.172,@EmmanuelOrtegaZ @CNN @realDonaldTrump @Acosta @VicenteFoxQue @washingtonpost @nytimes Kind of wish that eagle woul… https://t.co/VQF61SOYpi,19,@CNN
0.493,2018-04-29 02:22:53+00:00,0.842,0.0,0.158,@realDonaldTrump @FoxNews .@CNN had good coverage of both events! Even .@FoxNews had to take breaks from our… https://t.co/ZGBze9JeKa,20,@CNN
-0.477,2018-04-29 02:22:53+00:00,0.763,0.237,0.0,@CNN @CNNPolitics The media is unfair to potus.  Americans are blind/deaf,21,@CNN
0.567,2018-04-29 02:22:53+00:00,0.623,0.121,0.255,"@CNN @CNNOpinion WOW, IM NOT A DEMOCRAT OR REPUBLICAN BUT THIS MAN IS ALWAYS COMPLAINING ABOUT THE SYSTEM GIVING MO… https://t.co/EpTBzBd2CZ",22,@CNN
0.784,2018-04-29 02:22:53+00:00,0.42,0.0,0.58,"@CNN ""Don't worry, we'll find love SOMEDAY!""",23,@CNN
0.835,2018-04-29 02:22:52+00:00,0.682,0.0,0.318,RT @CNN: “Is this better than that phony Washington White House Correspondents’ Dinner? ... I could be up there tonight smiling like I love…,24,@CNN
0.0,2018-04-29 02:22:52+00:00,1.0,0.0,0.0,@CNN  https://t.co/39gBXdJZIz,25,@CNN
-0.735,2018-04-29 02:22:51+00:00,0.772,0.228,0.0,"RT @CNN: ""An attack on any journalist is an attack on us all,"" says Margaret Talev, president of the White House Correspondents' Associatio…",26,@CNN
0.0,2018-04-29 02:22:51+00:00,1.0,0.0,0.0,"RT @CNN: ""US presidents have attended this dinner nearly every year since Calvin Coolidge's days. And that's a tradition we believe will wi…",27,@CNN
0.0,2018-04-29 02:22:50+00:00,1.0,0.0,0.0,@thisbadassjo1 @CNN Lol.. We didn’t need Russia or the NRA to tell us Hillary is a crook https://t.co/DEU3WeG11P,28,@CNN
-0.959,2018-04-29 02:22:49+00:00,0.526,0.474,0.0,RT @mamendoza480: @CNN Too bad you never want to hear the stories of your fellow Americans killed by ILLEGAL ALIENS.  My son killed by a re…,29,@CNN
-0.735,2018-04-29 02:22:49+00:00,0.772,0.228,0.0,"RT @CNN: ""An attack on any journalist is an attack on us all,"" says Margaret Talev, president of the White House Correspondents' Associatio…",30,@CNN
-0.741,2018-04-29 02:22:49+00:00,0.718,0.282,0.0,"RT @happyloner: @CNN Fucking clown.  Shame on us as a country for allowing this deranged fool to become ""President"".",31,@CNN
-0.7,2018-04-29 02:22:49+00:00,0.72,0.231,0.049,RT @anamcmoran: I don’t want to hear that bigot @realdonaldtrump in #michigan Hate is his doctrine! Cut it out @CNN #MSNBCLIVE @MSNBC Bigot…,32,@CNN
-0.294,2018-04-29 02:22:48+00:00,0.886,0.114,0.0,"RT @SparkleSoup45: 💥MEDIA SILENT on Lawsuit Alleging Major Clinton Campaign Finance Law Violations!💥

Whatsamatter MSM?
THIS isn't newswort…",33,@CNN
0.0,2018-04-29 02:22:48+00:00,1.0,0.0,0.0,"RT @CNN: ""The Daily Show"" contributor Michelle Wolf is hosting tonight's White House correspondents' dinner. Here are four things you shoul…",34,@CNN
-0.477,2018-04-29 02:22:47+00:00,0.721,0.279,0.0,@CNN I guess you were wrong due to unforeseen circumstances,35,@CNN
0.0,2018-04-29 02:22:45+00:00,1.0,0.0,0.0,@djb799 @mfrohlichman @CNN Exactly Dave!,36,@CNN
0.542,2018-04-29 02:22:44+00:00,0.704,0.085,0.211,@tedlieu seems to be touting for a job at @CNN ... fits their narrative perfectly ....idiot https://t.co/bGhxYm6dLk,37,@CNN
0.0,2018-04-29 02:22:44+00:00,1.0,0.0,0.0,"RT @CNN: ""US presidents have attended this dinner nearly every year since Calvin Coolidge's days. And that's a tradition we believe will wi…",38,@CNN
-0.402,2018-04-29 02:22:44+00:00,0.695,0.205,0.1,@JordanSchachtel @Cernovich Why does all media have their head in the sand and refuse to accept they are fake? They… https://t.co/JGXWbMdG6j,39,@CNN
-0.735,2018-04-29 02:22:43+00:00,0.772,0.228,0.0,"RT @CNN: ""An attack on any journalist is an attack on us all,"" says Margaret Talev, president of the White House Correspondents' Associatio…",40,@CNN
0.0,2018-04-29 02:22:43+00:00,1.0,0.0,0.0,"@CNN 나라꼴을 이 지경으로 만들어 놓고 무엇이 잘났다고 새빨간 거짓말과, 조작과, 국민을 배신한 정치를 하였으면서, 어찌 옳은 소리하는 정치인에게 배신의 정치라고 뒤집어씌우고 있는가 말이다.!!!!!!… https://t.co/CUCElNYNgr",41,@CNN
-0.735,2018-04-29 02:22:43+00:00,0.78,0.22,0.0,"RT @drturpin: Retweeted CNN (@CNN):

""An attack on any journalist is an attack on us all,"" says Margaret Talev, president of the White Hous…",42,@CNN
0.778,2018-04-29 02:22:42+00:00,0.755,0.0,0.245,"RT @CNN: ""Daily Show"" comedian Hasan Minhaj spoke at the White House correspondents' dinner last year. Here's a look back at his best jokes…",43,@CNN
-0.226,2018-04-29 02:22:41+00:00,0.909,0.091,0.0,RT @StayWoke_____: @BushallSam1 @affan_imran @TheRickWilson I’m with you on that. This is one of the reasons I stopped watching @CNN - ppl…,44,@CNN
0.0,2018-04-29 02:22:37+00:00,1.0,0.0,0.0,@judithnwana @LumSSN @EmmanuelMacron @RepLeeZeldin @ChrisCoons @_AfricaTimes… https://t.co/PQKZgz9iQo,45,@CNN
0.0,2018-04-29 02:22:37+00:00,1.0,0.0,0.0,@CNN First amendment is outdated. Common sense media control now,46,@CNN
0.153,2018-04-29 02:22:36+00:00,0.286,0.314,0.4,@CNN Lol no bruh,47,@CNN
-0.736,2018-04-29 02:22:36+00:00,0.326,0.674,0.0,@CNN What a scared little shit.,48,@CNN
0.875,2018-04-29 02:22:36+00:00,0.6,0.0,0.4,RT @susancandiotti: Congrats to Merriman Smith Award 2018 broadcast deadline winners @jaketapper @evanperez @jimsciutto and @CNN team prese…,49,@CNN
-0.202,2018-04-29 02:22:36+00:00,0.652,0.17,0.178,@frankthecoach @CNN Wishing death on fellow Americans because they don’t share your ideology? That mentality has no… https://t.co/BbAqohCCxS,50,@CNN
0.0,2018-04-29 02:22:36+00:00,1.0,0.0,0.0,"RT @CNN: ""US presidents have attended this dinner nearly every year since Calvin Coolidge's days. And that's a tradition we believe will wi…",51,@CNN
